layer,hook_name,correct,total,accuracy
0,blocks.0.hook_resid_post,38,100,0.38
1,blocks.1.hook_resid_post,16,100,0.16
2,blocks.2.hook_resid_post,7,100,0.07
3,blocks.3.hook_resid_post,9,100,0.09
4,blocks.4.hook_resid_post,9,100,0.09
5,blocks.5.hook_resid_post,17,100,0.17
6,blocks.6.hook_resid_post,23,100,0.23
7,blocks.7.hook_resid_post,44,100,0.44
8,blocks.8.hook_resid_post,39,100,0.39
9,blocks.9.hook_resid_post,32,100,0.32
10,blocks.10.hook_resid_post,35,100,0.35
11,blocks.11.hook_resid_post,38,100,0.38
12,blocks.12.hook_resid_post,45,100,0.45
13,blocks.13.hook_resid_post,38,100,0.38
14,blocks.14.hook_resid_post,42,100,0.42
15,blocks.15.hook_resid_post,32,100,0.32
16,blocks.16.hook_resid_post,34,100,0.34
17,blocks.17.hook_resid_post,32,100,0.32
18,blocks.18.hook_resid_post,31,100,0.31
19,blocks.19.hook_resid_post,36,100,0.36
20,blocks.20.hook_resid_post,42,100,0.42
21,blocks.21.hook_resid_post,45,100,0.45
22,blocks.22.hook_resid_post,45,100,0.45
23,blocks.23.hook_resid_post,43,100,0.43
24,blocks.24.hook_resid_post,43,100,0.43
25,blocks.25.hook_resid_post,43,100,0.43
