layer,hook_name,correct,total,accuracy
0,blocks.0.hook_resid_post,45,100,0.45
1,blocks.1.hook_resid_post,19,100,0.19
2,blocks.2.hook_resid_post,27,100,0.27
3,blocks.3.hook_resid_post,18,100,0.18
4,blocks.4.hook_resid_post,24,100,0.24
5,blocks.5.hook_resid_post,20,100,0.2
6,blocks.6.hook_resid_post,12,100,0.12
7,blocks.7.hook_resid_post,36,100,0.36
8,blocks.8.hook_resid_post,35,100,0.35
9,blocks.9.hook_resid_post,22,100,0.22
10,blocks.10.hook_resid_post,36,100,0.36
11,blocks.11.hook_resid_post,22,100,0.22
12,blocks.12.hook_resid_post,23,100,0.23
13,blocks.13.hook_resid_post,10,100,0.1
14,blocks.14.hook_resid_post,18,100,0.18
15,blocks.15.hook_resid_post,11,100,0.11
16,blocks.16.hook_resid_post,13,100,0.13
17,blocks.17.hook_resid_post,16,100,0.16
18,blocks.18.hook_resid_post,25,100,0.25
19,blocks.19.hook_resid_post,36,100,0.36
20,blocks.20.hook_resid_post,40,100,0.4
21,blocks.21.hook_resid_post,44,100,0.44
22,blocks.22.hook_resid_post,45,100,0.45
23,blocks.23.hook_resid_post,46,100,0.46
24,blocks.24.hook_resid_post,45,100,0.45
25,blocks.25.hook_resid_post,53,100,0.53
