layer,hook_name,correct,total,accuracy
0,blocks.0.hook_resid_post,45,100,0.45
1,blocks.1.hook_resid_post,21,100,0.21
2,blocks.2.hook_resid_post,32,100,0.32
3,blocks.3.hook_resid_post,22,100,0.22
4,blocks.4.hook_resid_post,29,100,0.29
5,blocks.5.hook_resid_post,22,100,0.22
6,blocks.6.hook_resid_post,9,100,0.09
7,blocks.7.hook_resid_post,36,100,0.36
8,blocks.8.hook_resid_post,33,100,0.33
9,blocks.9.hook_resid_post,23,100,0.23
10,blocks.10.hook_resid_post,31,100,0.31
11,blocks.11.hook_resid_post,17,100,0.17
12,blocks.12.hook_resid_post,20,100,0.2
13,blocks.13.hook_resid_post,11,100,0.11
14,blocks.14.hook_resid_post,14,100,0.14
15,blocks.15.hook_resid_post,17,100,0.17
16,blocks.16.hook_resid_post,18,100,0.18
17,blocks.17.hook_resid_post,27,100,0.27
18,blocks.18.hook_resid_post,31,100,0.31
19,blocks.19.hook_resid_post,37,100,0.37
20,blocks.20.hook_resid_post,40,100,0.4
21,blocks.21.hook_resid_post,48,100,0.48
22,blocks.22.hook_resid_post,47,100,0.47
23,blocks.23.hook_resid_post,44,100,0.44
24,blocks.24.hook_resid_post,47,100,0.47
25,blocks.25.hook_resid_post,47,100,0.47
