layer,hook_name,correct,total,accuracy
0,blocks.0.hook_resid_post,47,100,0.47
1,blocks.1.hook_resid_post,33,100,0.33
2,blocks.2.hook_resid_post,38,100,0.38
3,blocks.3.hook_resid_post,39,100,0.39
4,blocks.4.hook_resid_post,43,100,0.43
5,blocks.5.hook_resid_post,42,100,0.42
6,blocks.6.hook_resid_post,42,100,0.42
7,blocks.7.hook_resid_post,43,100,0.43
8,blocks.8.hook_resid_post,45,100,0.45
9,blocks.9.hook_resid_post,34,100,0.34
10,blocks.10.hook_resid_post,34,100,0.34
11,blocks.11.hook_resid_post,35,100,0.35
12,blocks.12.hook_resid_post,20,100,0.2
13,blocks.13.hook_resid_post,29,100,0.29
14,blocks.14.hook_resid_post,33,100,0.33
15,blocks.15.hook_resid_post,41,100,0.41
16,blocks.16.hook_resid_post,50,100,0.5
17,blocks.17.hook_resid_post,43,100,0.43
18,blocks.18.hook_resid_post,48,100,0.48
19,blocks.19.hook_resid_post,40,100,0.4
20,blocks.20.hook_resid_post,43,100,0.43
21,blocks.21.hook_resid_post,39,100,0.39
22,blocks.22.hook_resid_post,41,100,0.41
23,blocks.23.hook_resid_post,47,100,0.47
24,blocks.24.hook_resid_post,48,100,0.48
25,blocks.25.hook_resid_post,30,100,0.3
