layer,hook_name,correct,total,accuracy
0,blocks.0.hook_resid_post,52,100,0.52
1,blocks.1.hook_resid_post,44,100,0.44
2,blocks.2.hook_resid_post,52,100,0.52
3,blocks.3.hook_resid_post,45,100,0.45
4,blocks.4.hook_resid_post,47,100,0.47
5,blocks.5.hook_resid_post,50,100,0.5
6,blocks.6.hook_resid_post,40,100,0.4
7,blocks.7.hook_resid_post,47,100,0.47
8,blocks.8.hook_resid_post,45,100,0.45
9,blocks.9.hook_resid_post,46,100,0.46
10,blocks.10.hook_resid_post,45,100,0.45
11,blocks.11.hook_resid_post,46,100,0.46
12,blocks.12.hook_resid_post,40,100,0.4
13,blocks.13.hook_resid_post,42,100,0.42
14,blocks.14.hook_resid_post,50,100,0.5
15,blocks.15.hook_resid_post,37,100,0.37
16,blocks.16.hook_resid_post,38,100,0.38
17,blocks.17.hook_resid_post,43,100,0.43
18,blocks.18.hook_resid_post,40,100,0.4
19,blocks.19.hook_resid_post,43,100,0.43
20,blocks.20.hook_resid_post,46,100,0.46
21,blocks.21.hook_resid_post,47,100,0.47
22,blocks.22.hook_resid_post,49,100,0.49
23,blocks.23.hook_resid_post,48,100,0.48
24,blocks.24.hook_resid_post,48,100,0.48
25,blocks.25.hook_resid_post,52,100,0.52
